,Title,Published_year,Description
170,California Grand Jury Data Analytics Threaten Patron Privacy,2019,Artificial intelligence AI and machine learning technology are transforming a whole host of industries from healthcare to marketing and finance—and they have the potential to do the same for academic libraries
171,Criticism of LinkedIn Learning’s Policies Grows,2019,Since ebooks first emerged as a way for readers to consume content digitally publishers and authors have required content aggregators to apply Digital Rights Management DRM technology to the ebooks they sell to libraries to prevent the unauthorized use copying and redistribution of these materials While this practice has given publishers and authors peace of mind that sales won’t be lost to piracy or other unauthorized sharing it has placed undue restrictions on readers who rely on institutional access to ebooks
172,Macmillan Announces TwoMonth Embargo on Library Ebooks,2019,The Internet has forever changed the nature of academic research
173,Publishers Change Ebook and Audiobook Models; Libraries Look for Answers,2019,As part of its broader information literacy efforts Toledo Lucas County Public Library recently installed NewsGuard a free web extension in the Firefox Chrome and Edge browsers on all of the library’s 750+ public and staff computers
174,News from the Show Floor  ALA Annual 2019,2019,If you’ve not already encountered it frictionless is a word you may be hearing more in libraryland While we want to deliver good experiences librarians may want to think twice about eliminating friction
175,Library Ideas to Launch AR/VRenhanced Children’s Books,2019,I wrote in OCLC Next last year about container collapse and how many people are having a hard time evaluating the value of online research results Students think that being able to identify highquality materials is important They also believe they are good at it—though our findings suggest they actually aren’t Some more recent research though indicates that librarians can make a difference
176,Ex Libris Buys Colorado State’s RapidILL Solution,2019,When the University of Rhode Island URI opened its new artificial intelligence lab on the first floor of the Robert L Carothers Library and Learning Commons last September 2018 URI president David M Dooley said that this lab will be more than just a technology center It will be a place of ideas discussion and debate
177,Indiana University Libraries Hosts First AV Archival Summer School,2019,Broward County Library FL has begun loaning out augmented reality / virtual reality headsets at nine of its 38 branches in a new pilot test with MERGE Labs a tech startup focused primarily on the K–12 education market
179,Making Academic Research More Efficient,2019,Librarians eager to steer patrons toward library collections will appreciate the opportunities for collaboration this tool provides; although the Grant Papers are available in their original form online at the Library of Congress the quality and readability of this work’s text and its userfriendliness make it an excellent alternative
180,Planning to be community catalysts,2019,As researchers take on problems that cut across many different fields and geographies academic research is becoming more multidisciplinary in nature
182,Panorama Project Launches Panorama Picks Regional Lists of Popular Library Ebooks,2019,I’ve been talking about linked data a lot lately Before you say Oh that’s so five minutes ago let’s frame linked data technologies and principles as a technology trend in libraries that continues to get and deserves extra attention I’m naturally skeptical when libraries try to apply new technologies to longsolved problems but I am now thoroughly convinced that the library needs linked data platforms
183,Alterspace Transforms Libraries Into Rooms of Requirement,2019,A roundup of excellent subscription databases reviewed by LJ in 2018
184,LJ Textbook Affordability Survey Costs Still a Concern OER an Opportunity,2019,Grand Prairie Library System recently launched Epic Reads a new library vending unit in the city's massive new recreation center The Epic
185,Gale Expects Few Changes to Library Business Following Cengage McGrawHill Merger,2019,What's better than free? Our resident InfoDocket guru curates 2018's best gratis reference sites and apps
186,Engaging Conversations  Field Reports,2019,The Washington State Convention Center exhibit hall was a hive of activity during the American Library Association’s Midwinter conference in Seattle last month Here are a few of the vendor announcements LJ had the opportunity to hear about in person
187,HuntsvilleMadison Maker Space Creates Parts for International Space Station Project,2019,Librarians discussed a wide range of emerging opportunities and challenges during the Library Information Technology Association’s Top Tech Trends panel at the American Library Association’s Midwinter conference
189,Internet Archive Expands Partnerships for Open Libraries Project,2019,ProQuest yesterday announced the launch of ProQuest One Academic a new resource that utilizes a single user interface to offer access to ProQuest Central the Academic Complete collection Alexander Street’s Academic Video Online collection and the ProQuest Dissertations and Theses Global database
190,Resources to Encourage Reading with The Library 100 List,2019,Learn the math behind determining the number of congressional seats for each state in the United States from the American Mathematical Society publisher of Mathematical Moments a program that promotes appreciation and understanding of the role mathematics plays in science nature technology and human culture
191,Nevada State Library Enters New Phase of Virtual Reality Project,2019,Students of sustainable agriculture learn the concepts and techniques they need to practice and promote farming that is environmentally sound as well as profitable according to the College Board an organization that connects students to college success and opportunity
192,University of Würzburg Announces Open Source Text Recognition for Historical Texts  infoDOCKET,2019,Citing irreconcilable disagreements with publisher Elsevier’s business model the editorial board of the Journal of Informetrics on January 10 unanimously announced its resignation and subsequently launched a new journal Quantitative Science Studies
193,How AI Can Enhance the Value of Research Libraries,2019,After successfully migrating to a new library services platform in fall 2017 the Ithaca College Library collaborated with IT to implement a course reading list tool
194,DRMFree eBooks Are Now Available Here’s Why That’s a Big Deal,2019,From January 2 through 18 the Nueces County Keach Family Library in Robstown TX is hosting the Glass Room Experience a special exhibition designed to spark discussion about personal data and online privacy
195,A Diversity of Source Types Creates New Challenges for Researchers,2019,Whether you’re a librarian scientist student or general consumer when seeking research for your work relevant information and sources seem plentiful especially since the internet has made it easier than ever to discover and share content However the more there is the harder it becomes to find what you need
196,Toledo Lucas County Installs News Literacy Browser Extension,2019,Academic libraries do something remarkably well They take information published in a variety of formats worldwide and make it easily searchable and accessible for students faculty and researchers Now a growing number of institutional leaders are asking How can academic librarians take these same skill sets and apply them to the challenge of making a university’s research assets more easily discoverable among the broader research community?
197,Questioning the Frictionless Library Experience  From the Bell Tower,2019,The Academic Libraries Video Trust ALVT this week announced that six universities have joined the organization as Founding Benefactors The project now live at videotrustorg will facilitate the preservation of commercial video content available exclusively on VHS or other obsolete deteriorating formats
198,Mind the gap Bridging the divide between discovery and delivery  by Lynn Silipigni Connaway PhD,2019,From the ITU International Telecommunications Union ITU the United Nations specialized agency for information and communication technologies ICTs estimates that at the end of 2018 512 per cent of the global population or 39 billion people will be using the Internet
199,Labs in the Library,2019,The Panorama Project—a multiyear library and publishing industry initiative focused on researching the impact that libraries have on book and author discovery brand development and retail sales—released its first report last week indicating that a recent national library promotion led to a significant sales increase for the promoted title
200,Broward County Library Pilots AR/VR Headset Program with MERGE,2019,The Library of Congress LC last month launched crowdlocgov a new crowdsourcing platform that will improve discovery and access to the Library’s digital collections with the help of volunteer transcription and tagging
201,Center for an Urban Future Examines Libraries’ Place in Tech SkillsBuilding,2019,Librarians are committed to equity of access and fostering community engagement for all But do we provide access and engagement for a burgeoning population of older adults who experience vision and/or hearing loss or does this population go underserved right under our noses?
202,Gale's Digital Scholar Lab  The Papers of Ulysses S Grant Digital Edition  Reference eReviews April 2019,2019,Copyright experts have begun building a framework for Controlled Digital Lending CDL with the recent publication of a white paper and an official position statement initially supported by forty individual and 24 institutional signatories including major academic and public library systems library consortia such as Califa Group legal scholars and organizations such as the Internet Archive
203,From Sustainable Fashion to Aging Populations How Global Challenges are Transforming Research,2019,MIT Press and MIT Media Lab recently launched the Knowledge Futures Group KFG a firstofitskind collaboration between a major academic publisher and academic lab to create and share research information
204,Disaster Preparedness Modern Library Design Project Management  Professional Media March 2019,2019,The Google Generation Digi Natives Generation Z – the newest generation of today’s college students have arrived in your library bringing with them a paradoxical challenge
205,Linked data for libraries—from disillusionment to productivityby Andrew K Pace,2019,As community leaders and public servants modern librarians play an increasingly vital civic role in the information age
206,Best Databases of 2018,2019,ProQuest today announced the development of Rialto which will integrate the features and capabilities of Ebook Central OASIS and Leganto within the Ex Libris Alma cloudbased Library Services Platform Named after the Rialto Bridge in Venice Italy the company describes it as a product that will bridge gaps in current selection and acquisition processes for academic libraries greatly simplifying workflows for Alma users
207,Grand Prairie Launches Vending Library in Epic Rec Center,2019,Kent District Library MI launched Bookmark a customdeveloped prehire screening tool designed to help assess which job candidates are most likely to succeed in patronfacing library positions
208,Best Free Reference Websites and Apps,2019,Adam Matthew Digital a SAGE company has launched Quartex a digital asset management solution designed to help libraries showcase archival collections
209,News from the Show Floor  ALA Midwinter 2019,2019,On September 5 the Institute of Museum and Library Services IMLS awarded a 50000 grant to the New Mexico State Library NMSL for Libraries Lead A Creative Economy Initiative The funding will advance Libraries as Launchpads a multipartner program designed to enable small rural and tribal libraries across the state to serve as economic development centers and help entrepreneurs bring their business ideas to fruition
210,Open Agenda Privacy and Digital Identity Lead Top Tech Trends  ALA Midwinter 2019,2019,Effective October 1 Penguin Random House PRH changed its licensing terms for public library ebooks discontinuing its longstanding onecopy oneuser perpetual license model and establishing a twoyear access model
211,Newspapers Now and Then  Reference eReviews February 2019,2019,Ottawa Public Library ON Canada last month was selected as a Top 10 Innovator by the Urban Libraries Council for its new Express eBooks program
212,ProQuest Launches ProQuest One Academic,2019,At the University of North Alabama we are quite proud of the firstyear library instruction sequence that was built through years of hard work testing various ideas and components and constant reflection and assessment
213,Assigning Seats Learning the Math Behind Congressional Seating,2019,Nonprofit human rights organization Amnesty International has chosen digital preservation company Preservica to create a global digital archive that will allow Amnesty to migrate preserve and provide access to more than half a century’s worth of records
214,Is Urban Agriculture the Future of Farming at Home and Around the Globe?,2019,Legal requirements the growth of dedicated positions and enhanced technology are helping academic libraries make content accessible for all
215,Informetrics Journal Quits Elsevier Relaunches as Open Access,2019,On September 25 the University of Rhode Island opened an Artificial Intelligence AI lab on the first floor of the Robert L Carothers Library and Learning Commons While many universities have launched AI labs in recent years URI officials believe this is the first such facility located in a university library
216,Launching a Course Resources Service Three Keys to Success,2019,The New York Public Library NYPL introduced Insta Novels on August 22 posting a newly digitized illustrated version of Alice’s Adventures in Wonderland by Lewis Carroll on its official Instagram account The concept has been an immediate success
217,Keach Library Hosts Online Privacy Exhibit,2019,Following two years in development Gale launched its Digital Scholar Lab DSL a cloudbased text mining and natural language processing solution that facilitates analysis of raw text data optical character recognition/OCR text from 160 million pages of Gale Primary Sources content
218,The Value of Indexing for Accelerating Research,2019,An absorbing read and recommended introduction to space exploration for subject enthusiasts
219,Making Research More Discoverable,2018,An update on Tor's four month embargo on selling new ebooks to libraries
220,VHS Preservation Project Announces Founding Members,2018,To offer students the opportunity to explore and create their own AR content a group of librarians at the North Carolina State University Libraries curated ARt Augmented Reality in 3D an interactive exhibit at the James B Hunt Jr Library
221,ITU More Than Half the World Is Now Using the Internet  infoDOCKET,2018,US District Judge Robert Lasnik on Monday extended a ban on the online publication of digital blueprints that can be used to manufacture guns with 3D printers and computer numerical controlled CNC milling machines Since a growing number of US public and academic libraries provide access to 3D printers and CNC milling machines as part of Maker spaces and fab lab workshops the case has drawn attention from the library field
222,Library Promo Boosts Sales for Debut Memoir,2018,The University of California Berkeley Law Library BLL last month implemented the TIND cloudbased Integrated Library System ILS becoming the third US academic institution to adopt the new ILS In collaboration with BLL TIND completed the development of a new launchready acquisitions and serials module as part of its initial contract
223,Library of Congress Launches Crowdsourcing Platform,2018,The Insta Novels program created by Mother [an independent advertising and creative agency] in New York and developed in partnership with the New York Public Library aims to make some of the greatest stories ever written more accessible to every New Yorker and Instagram user
224,You Too—Assistive Technology  Field Reports,2018,According to a new analysis by researchers at New York University violence has fallen in nearly all major US cities since 1991 AmericanViolenceorg supported with funding from the Bill  Melinda Gates Foundation is based at NYU’s Marron Institute of Urban Management and currently provides citylevel figures on murder rates in more than 80 of the 100 largest US cities
225,Controlled Digital Lending Concept Gains Ground,2018,The University Libraries at Virginia Tech this summer became the first R1 research library to implement the Koha open source integrated library system ILS migrating more than 15 million holdings from its former ILS
226,MIT Press Media Lab Launch Knowledge Futures Group,2018,Ideally we inform ourselves about health by listening to physicians and other scientists We monitor our activity and health using wearable technology Still when a fix is required we rely on technology These 29 resources will help keep our collections robust
227,Six Ways a Discovery Platform Ensures Success with the Google Generation,2018,A team made up of digital humanities librarians and other academic partners has developed an interactive website that visualizes the impact of Trump administration’s family separation policy’s enforcement and the emerging humanitarian crisis it has engendered
228,DataDriven Strategies Improve Public Service,2018,A group of experts discussed emerging libraryrelevant technology trends ranging from Quantum Computers to the deployment of digital libraries in public housing developments during the Library and Information Technology Association’s Top Tech Trends panel at ALA Annual 2018
229,ProQuest Debuts Rialto Enhancing Selection and Acquisition for Alma Libraries,2018,Booknet Canada surveyed 500 Canadians over the age of 18 who read digital books about their format preferences book buying price points channels and more See INFOdocket for an infographic and link to a video presentation on the findings
230,Kent District Library Develops Online Test for Job Applicants,2018,A new program being launched today by New York City’s three major library systems will give cardholders free admission to 33 museums and other institutions Culture Pass designed to encourage underserved communities to take advantage of the city’s cultural bounty will let users reserve passes once a yearRead more at LJ's INFOdocket
231,Adam Matthew Launches Quartex Digital Library Platform,2018,Social media platforms serve as a virtual complaint window for angry consumers Higher ed is no different when community members share concerns and voice anger in online public spaces Academic librarians need to know how to handle these situations
232,Libraries as Launchpads Helps NM Entrepreneurs,2018,The State Library of Ohio has launched Libraries by the Numbers LBTN a webbased data visualization tool that enables users to create custom infographics about individual library systems using data drawn from their Institute for Museum and Library Services IMLS Public Library Surveys
233,Librarians React to New Penguin Random House Ebook Terms,2018,Northeastern University NEU has launched the Boston Research Center an addition to its library that will focus on interdisciplinary studies of Boston’s history
234,Express eBooks Program Proves Popular for Ottawa,2018,It’s a growing trend each year more library school graduates report working as librarians outside of libraries in LJ’s annual placements and salaries survey
235,Remote Information Literacy  Field Reports,2018,Last week the Library Freedom Institute launched a program designed to help librarians become advocates for online privacy created by the Library Freedom Project in partnership with New York University
236,Amnesty International To Create Human Rights Archive,2018,Automated systems are helping libraries move staff to patronfacing work while manufacturers innovate new design features
238,University of Rhode Island Opens AI Lab in Library,2018,May 17 is Global Accessibility Awareness Day The idea started with a 2011 blog post by web developer Joe Devon in which he argued that it’s more important to make a site accessible than pretty As librarians at the University of Southern California USC we began a case study in December on accessible design for library instruction We invoke Devon’s humility as well as his call to action because it closely follows our own path of going from knowing very little to gaining more knowledge and becoming advocates for accessibility
239,Insta Novels an Instant Social Media Hit for NYPL,2018,The six projects that won the 2018 AIA/ALA Building Awards are worth a good look The awards presented each year by the American Institute of Architects AIA and the American Library Association ALA celebrate excellence in architectural design and help identify trends to consider in new buildings or renovations
240,Gale Launches Digital Scholar Lab,2018,NYLA’s benchmarking system helps libraries step by step attain organizationwide sustainability
242,Tor OverDrive Comment on Library Ebook Embargo,2018,The American Institute of Architects AIA partners each year with the American Library Association ALA/Library Leadership and Management Association LLAMA to recognize the best in library architecture and design The 2018 AIA/ALA Library Building Awards announced on April 6 included public libraries from Cape Cod to California
244,Ban Extended for 3D Printed Gun Plans,2018,The MIT Media Lab has expanded beyond academic and corporate collaborations to join forces with public libraries for the Public Library Innovation Exchange PLIX coordinated by the Media Lab Learning Initiative and MIT Libraries and supported by a grant from the Knight Foundation
245,UC Berkeley Law Library Implements TIND ILS,2018,Hoopla digital last week announced an agreement with eBooks2go that will add thousands of educational ebooks and homeschooling materials to the digital content platform’s service offering library patrons access to Shell Education and TIME FOR KIDS content from Teacher Created Materials Publishing as well as ebooks and other resources from Boys Town Press
246,NYPL Introduces Insta Novels FullText Illustrated Classics on Instagram,2018,Recorded Books an RBmedia company has launched an enhanced RBdigital app enabling library patrons to use a single interface to access its audiobooks ebooks magazines comics streaming video educational content games and more
247,NYU Marron Institute Database Provides CityLevel Figures on Murder Rates,2018,Led by the District of Columbia Public Library libraries are helping patrons save their mementos—and learn the basics of digital preservation in the process
248,Virginia Tech First R1 Library to Adopt Koha ILS,2018,The comprehensive program at the 13th annual Electronic Resources and Libraries ERL conference featured presentations from danah boyd and Robyn Caplan of the Data  Society Research Institute
250,Digital Humanities Project Visualizes the Impact of Family Separations,2018,Smart speakers are becoming part of US households and there’s a lot that the public needs to know with libraries well positioned to help
251,Quantum Computing Lack of Corporate Transparency Lead Top Tech Trends  ALA Annual 2018,2018,OCLC last week announced that Wise an integrated library system ILS currently used by more than 75 percent of public libraries in the Netherlands will become available to library systems in the United States beginning this summer
252,Who Is the Average Canadian Ebook Reader?  INFOdocket,2018,Virtual reality is fast reaching a mainstream tipping point with libraries already facilitating nextgeneration learning environments that use it
253,NYC Libraries Offer Free Digital Culture Pass  INFOdocket,2018,Most college students prefer to read print books for pleasure but when they are conducting research almost twothirds now prefer ebooks or express no format preference according to Library Journal's 2018 Academic Student Ebook Experience Survey sponsored by EBSCO
254,Get It Right Responding to Social Media Complaints  From the Bell Tower,2018,Google Analytics has a lot of configuration options which is why webmasters love it For the purposes of user privacy however there are just two configuration options to pay attention to the IP Anonymization option and the Display Features option
255,State Library of Ohio Launches Custom Infographic Tool,2018,A photo spurred Marian Fragola to create the Making Space series at North Carolina State University NCSU As part of a study on the library’s gaming spaces a student snapped a picture of herself looking into one of the rooms her body reflected in the glass [It] captured her feelings of not being welcomed says Fragola director of program planning and outreach The photo brought home to Fragola and her colleagues the issue of women’s underrepresentation in the Maker movement and tech
256,Northeastern University Library Launches Boston Research Center,2018,As more academic librarians seek to engage with open education resources OER and textbook affordability initiatives there are naturally concerns about the impact on the campus bookstore Start by considering how to build a better relationship
258,Library Freedom Institute Kicks Off TraintheTrainers Privacy Course,2018,After 15 years as an elementary school classroom teacher Fran Glick enrolled in a master’s degree program in instructional technology with a concentration in school library media The moment I entered the program my inner librarian was awakened she says
260,Bibliotheca Offers Unstaffed Hours Solution,2018,In 2015 after five years with the Omaha Public Library OPL Rebecca Stavick launched Do Space a blend of community technology library digital workshop and innovation playground being touted as the first technology library in the United States
261,Accessibility Awareness  The User Experience,2018,The first time Emma Hernández encountered the term digital inclusion was on the application for the Nonprofit Technology Network NTEN/Google Fiber Digital Inclusion Fellowship a oneyear program for emerging leaders from digitally divided communities to improve digital access I…realized that these words described the difficulties I had faced as a lifelong member of the digitally disconnected masses she says
262,Sustainability Squared Great Buildings Are Just the Start  Editorial,2018,When Jason Johnson started at the Spokane County Library District SCLD in 2004 he saw it as a day job—one that allowed him to concentrate on the music and other creative endeavors he had moved to Eastern Washington to pursue He’s been a rock musician for years mostly playing in the band Buffalo Jones
263,Certified Sustainable  Library Design,2018,This is your eulogy/ Un canto sin letras/ Una memoria/—inexpresable David Lopez wrote the poem Eulogy after the June 2016 shooting at the gay nightclub Pulse in Orlando FL It appeared on the website The Brillantina Project an online poetry anthology for LGBTQ+ writers that Lopez created in response to the massacre When these spaces of healing do not exist we have to create them on our own and show the world that we are here says Lopez who has an MFA in creative writing as well as an MLIS
264,Reaching Net Zero  Library Design,2018,Nathaniel Rasmussen is leading the charge in central Pennsylvania to install WiFi help hot spots by using TV white space in nine regional parks Rasmussen and his team at Schlow Centre Region Library will deploy the first three or four locations by June 2018 to offer open Internet access to residents and a homework portal for public school students in Centre County PA
265,2018 AIA/ALA Library Building Awards Announced,2018,In middle school says Kristina Spurgin I taught myself to code in BASIC and repurposed the Address Book application that came with our Tandy Radio Shack 1000 EX to subject index my parents’ National Geographic collection—for fun Now I have a spreadsheet that tells me when to start making bread given the time I want to eat the bread and whether it’s chilly neutral or warm inside Unsurprisingly Spurgin is meticulous in describing how initiatives she leads on the job improve upon existing processes and enable work that was previously impossible
267,MIT Media Lab Collaborates with Public Librarians,2018,A longtime LJ video reviewer and 2004 Video Reviewer of the Year Ellen Druda is best known on Long Island for her decades of work as an everadaptive always innovative technology specialist Although Druda earned her MLS in 1976 her career began in media first at CBS News and then at the upstart MTV network I loved all the cameras and editing equipment I remember feeling bristly at being the only female in the tech area she says
268,Hoopla eBooks2go Partner on Educational Content,2018,As the New Hampshire State Library NHSL ramps up its efforts to buy new interlibrary loan ILL software for the first time since 2002 librarians across the Granite State continue using phone calls email and other workarounds to keep up with patron requests almost three months after an aging statewide system finally crashed for good
269,RBdigital Introduces Unlimited Streaming Video Enhanced App,2018,More than onethird 37% of academic library materials budgets go to database subscriptions and electronic reference materials followed by journals and serials 23% print books 22% ebooks 11% and media/streaming media 5% according to the Academic Library Collection Development Survey 2017 conducted by LJ’s research department and sponsored by EBSCO Book holdings are still weighted toward print with survey respondents on average describing print as 603 percent of their overall collection and ebooks as 397 percent
271,Hackfests UX Personal Data and Media Among Trends at ERL 2018,2018,How high is Mount Rainier? That question was one I remember from my reference class scavenger hunt assignments way back in my master’s program at Indiana University It was also one of the first questions I asked our new Amazon Echo during the holidays as I experimented with Alexa as a virtual assistant
274,OCLC Debuts Wise an ILS Focused on Community Engagement,2018,The 13th annual Electronic Resources and Libraries ERL conference returns to the ATT Conference Center at the University of Texas at Austin on March 4–7 offering attendees a range of presentations on electronic resources management in seven tracks licensing collection development organizational strategies external relationships user experience UX scholarly communications and library publishing and emerging technologies and trends
276,College Students Prefer Print for Longform Reading Ebooks for Research  LJ Survey,2018,Digital Science has debuted Dimensions The free core version of the platform delivers oneclick access to over nine million open access articles and 860 million abstracts and citations
277,Privacy with Google Analytics  Field Reports,2018,Intel Corporation this week acknowledged two serious processorlevel security vulnerabilities—named Meltdown and Spectre—that affect virtually all computers manufactured during the past decade that contain the company’s market leading CPUs Processors manufactured by ARM and AMD may also be affected by Spectre reportedly the more difficult flaw to exploit
279,Ideas for Building a Better Relationship with Your Campus Bookstore  From the Bell Tower,2018,The King Library at Miami University MU OH recently debuted a stateoftheart esports arena prominently located on the library’s first floor Developed in partnership with the university’s Armstrong Institute for Interactive Media Studies AIMS and IT services department the new facility is home to the Miami Redhawks esports program which attained varsity status in 2016
282,Save Government Information  Peer to Peer Review,2018,The Federal Communications Commission FCC today passed the Restoring Internet Freedom Order RIFO overturning the 2015 Open Internet Order a regulatory framework established during the Obama administration that gave the FCC the power to enforce net neutrality defining broadband Internet as a utility similar to electricity or water and requiring Internet Service Providers ISPs such as Comcast Verizon and ATT to treat all data traffic on the Internet equally
291,NH Libraries Face ILL System Failure,2018,Academic libraries have always enabled access to books monographs journals and other resources With datasets emerging as a new type of content for collection and analysis many libraries are not only helping students and faculty acquire datasets and hosting those they create but debuting innovative services that assist graduate students and faculty with expressing their findings effectively through data visualization These in turn make those libraries increasingly relevant to departments campuswide
292,LJ Study Electronic Resources Continue Steady Gains in Academic Libraries,2018,This fall New York University NYU in partnership with the Library Freedom Project will be seeking applicants for the Library Freedom Institute LFI a new program that will train 40 geographically dispersed librarians as Privacy Advocates
293,AI Personalization and Privacy Top Tech Trends  ALA Midwinter 2018,2018,WiFi hot spot lending can help bridge the digital divide by addressing a persistent problem lack of Internet access at home among lowincome families Without such access students are often unable to complete homework with an online component and parents can’t effectively job hunt or apply for government and other ­services
294,Flash Briefing  Office Hours,2018,After a group of middle schoolers from Wilmington NC had the chance to share in the discovery of some rare primary source documents transcribe them and get an upclose look at the digitization process North Carolina may have a few more aspiring archivists ready to help preserve its past
295,LIRN Consortium Implements New Proxy Platform,2018,LJ recently caught up with Carl Grant associate dean of knowledge services and chief technology officer for the University of Oklahoma OU Libraries to discuss a few of the ways the library is helping faculty incorporate virtual reality and other emerging technologies into research and coursework as well as recent remodeling projects and how high tech and new collaborative spaces both play key roles in OU’s effort to make the library the intellectual crossroads of the university
296,What’s Hot Now?  Materials Survey 2018,2018,Library shelves have long presented an opportunity for patrons to escape the real world in the pages of a good book But at libraries all over California visitors can travel into a whole new reality Well a virtual reality at least
297,Lucky 13  ERL Preview 2018,2018,As collections transition to digital and print finds its way into remote storage sites how does our profession respond to research that favors print over digital for reading comprehension learning and meeting student preferences?
298,Sterling Heights Incorporates Brain Training Software into Program for Seniors,2018,In the second quarter of 2017 Facebook grew to more than two billion monthly active users including 236 million in the United States and Canada—twothirds of the combined population of those countries According to a recent report in Forbes Twitter’s growth has been slowing somewhat but the number of average monthly active users on the platform grew five percent yearoveryear to 328 million worldwide in Q217 According to a recent report in TechCrunch Instagram has doubled its user base during the past two years reaching 700 million monthly active users this spring Social media is where people are online so libraries need to be there too
299,Digital Science Launches Dimensions Platform with Free Discovery for OA Citations,2018,Measure the Future an open source open hardware project that enables libraries to collect and analyze data regarding how their physical space is being used will soon deploy new sensors at libraries participating in its public beta launch including the Meridian Library District MLD ID; the State University of New York Potsdam; the New York Public Library; the University of Boston Law Library; and the Carnegie Library of Pittsburgh
300,Major CPU Security Flaw What Libraries Need to Know,2018,OverDrive will soon launch a feature for its new Libby ebook and audiobook app that will enable new patrons to sign up for a library card using their smartphone or tablet confirming residency requirements without requiring a visit to a library branch
301,EBSCO and BiblioLabs Announce OA Service for Theses Dissertations,2018,Students returning to Pennsylvania State University PSU this fall will find four new short story dispensing kiosks installed at libraries across campus along with a website for submitting their own original stories for distribution through the kiosks Developed by Short Édition of Grenoble France the kiosks’ simple interface allows users to select a story that takes one three or five minutes to read Their story is then printed out on a narrow piece of sustainablysourced thermal paper the size of a large receipt
302,Miami University Library Hosts Esports Arena,2017,PLTW President and CEO and New York Times bestselling author Vince Bertram EdD is publishing Dream Differently Candid Advice for America’s Students Regnery this month He recently spoke with LJ about changing the US approach to STEM education how students can better navigate the transition from school to college to careers and what public academic and K–12 libraries can do to help them along the way
303,Mixed Reality  Product Spotlight,2017,LYRASIS last month named the first recipients of its 100000 LYRASIS Leadership Circle’s Catalyst Fund which was created to support new ideas and projects by LYRASIS members
304,Creating Creative Spaces  Field Reports,2017,Chromebook deployment targeted Maker spaces open source disruption and improving institutional social media practices were among the other topics discussed during the Library Information Technology Association’s Top Tech Trends panel at the American Library Association’s annual conference on June 25
305,FCC Kills Net Neutrality Fight Likely to Move to Courts,2017,While working as an NTEN/Google Fiber Digital Inclusion Fellow at the San Francisco Public Library SFPL I observed a profound digital disparity in the Bay Area despite it being the center of technology innovation In an effort to bridge the divide we partnered with community organizations to host the first San Francisco Digital Inclusion Week DIW in May 2017
306,ITHAKA Next Wave Conference Focuses on Higher Ed Challenges,2017,The World Wide Web is always evolving and user expectations constantly respond to prevailing trends Navigation habits become conditioned by content management system CMS templates common screen layouts search bar locations and menu designs that shape how people use popular websites And libraries have to keep pace
307,SJSULed Team Explores Blockchain in Libraries,2017,For over two years Chicago Public Library CPL has brought free online courses to adult learners via its Learning Circles program partnering with Peer 2 Peer University a nonprofit organization that facilitates learning outside of a brickandmortar classroom by cultivating highquality lowcost learning The online program has helped over 225 participants complete classes since 2015 on topics ranging from personal finance to writing skills
308,Library of Congress Encourages Public to Engage with Digital Resources via labslocgov,2017,The American Library Association ALA Annual Conference held this year at Chicago’s McCormick Place convention center June 2227 included a number of announcements and product launches from library vendors Here are a few that LJ had the opportunity to learn about in person
309,Adam Matthew Enables FullText Search of Handwritten Manuscripts,2017,Library staff are the folks who love to talk about books The more people we reach and can inspire the happier we are We also love to talk about libraries and their place in our society and share ideas about how to make libraries a better place for our users
310,Virtually There  Product Spotlight,2017,Library Ideas developer of the Freading ebook and Freegal music solutions for libraries is launching the GoChip Beam a new type of device for lending movies and television series Each GoChip Beam device contains a small WiFi router rechargeable battery and solid state storage preloaded with five feature length movies or an entire season of a television series all enclosed in a 35″ x 1″ stick
311,Mainland Libraries Aid Maria Victims with Money Mapathons,2017,Measuring outcomes can be a vital aid to justifying library work to voters funders and stakeholders—as well as determining strategic direction—but it can also be overwhelming
312,Google Directs Users to Library Ebooks from OverDrive,2017,Marmot Library Network has developed a Digital Archive and repository solution enabling its member libraries to showcase digitized collections of images postcards books magazines videos recorded oral histories music and academic research Users can discover archive content from throughout the multitype consortium with a simple catalog search
313,Focus Group Insights  The User Experience,2017,Serving senior citizens has long been a core mission for libraries Traditionally these services were often focused on delivering materials to the homebound yet today’s active and often techsavvy elders want different things driving libraries to rethink their paradigm for service to older adults And even for those who can’t get to the library the creative application of innovative technology is delivering education imagination and human connection as well as books
314,Visualizing the Future  TechKnowledge,2017,OverDrive announced last week that Simon  Schuster Audio Baker Publishing and Lerner Publishing will be making ebooks and audiobooks available for licensing on the OverDrive platform via a costpercirc CPC model later this year
315,Library Freedom Institute to Launch TraintheTrainers Course on Internet Privacy Security,2017,As Maker spaces in libraries become increasingly common often backed by grants from the Institute of Museum and Library Services IMLS—and Maker activities without a dedicated space even more so—anyone who follows the professional literature and conference presentations is surely aware of the buzz around Making But just how much does that buzz represent widespread practice and of what precisely do these offerings consist?
316,How to Hot Spot  TechKnowledge,2017,Millersville University and Caltech have recently implemented library systems developed by TIND a commercial spinoff of the European Organization for Nuclear Research CERN TIND’s suite of solutions is based on CERN’s open source Invenio Digital Library Framework
